playerID,nameFirst,nameLast,nameGiven,weight,height,bats,throws
aardsda01,David,Aardsma,David Allan,205,75,R,R
aaronha01,Hank,Aaron,Henry Louis,180,72,R,R
aaronto01,Tommie,Aaron,Tommie Lee,190,75,R,R
aasedo01,Don,Aase,Donald William,190,75,R,R
abadan01,Andy,Abad,Fausto Andres,184,73,L,L
abadfe01,Fernando,Abad,Fernando Antonio,220,73,L,L
abadijo01,John,Abadie,John W.,192,72,R,R
abbated01,Ed,Abbaticchio,Edward James,170,71,R,R
abbeybe01,Bert,Abbey,Bert Wood,175,71,R,R
abbeych01,Charlie,Abbey,Charles S.,169,68,L,L
abbotda01,Dan,Abbott,Leander Franklin,190,71,R,R
abbotfr01,Fred,Abbott,Harry Frederick,180,70,R,R
abbotgl01,Glenn,Abbott,William Glenn,200,78,R,R
abbotje01,Jeff,Abbott,Jeffrey William,190,74,R,L
abbotji01,Jim,Abbott,James Anthony,200,75,L,L
abbotku01,Kurt,Abbott,Kurt Thomas,180,71,R,R
abbotky01,Kyle,Abbott,Lawrence Kyle,200,76,L,L
abbotod01,Ody,Abbott,Ody Cleon,180,74,R,R
abbotpa01,Paul,Abbott,Paul David,185,75,R,R
aberal01,Al,Aber,Albert Julius,195,74,L,L
abercda01,Frank,Abercrombie,Francis Patterson,,,,
abercre01,Reggie,Abercrombie,Reginald Damascus,215,75,R,R
abernbi01,Bill,Abernathie,William Edward,190,70,R,R
abernbr01,Brent,Abernathy,Michael Brent,185,73,R,R
abernte01,Ted,Abernathy,Talmadge Lafayette,210,74,R,L
abernte02,Ted,Abernathy,Theodore Wade,215,76,R,R
abernwo01,Woody,Abernathy,Virgil Woodrow,170,72,L,L
aberscl01,Cliff,Aberson,Clifford Alexander,200,72,R,R
ablesha01,Harry,Ables,Harry Terrell,200,74,R,L
abnersh01,Shawn,Abner,Shawn Wesley,190,73,R,R
abramca01,Cal,Abrams,Calvin Ross,185,72,L,L
abramge01,George,Abrams,George Allen,170,69,R,R
abregjo01,Johnny,Abrego,Johnny Ray,185,72,R,R
abreubo01,Bobby,Abreu,Bob Kelly,220,72,L,R
abreujo01,Joe,Abreu,Joseph Lawrence,160,68,R,R
abreuju01,Juan,Abreu,Juan de Dios,185,72,R,R
abreuto01,Tony,Abreu,Etanislao Toni,200,69,B,R
abreuwi01,Winston,Abreu,Winston Leonardo,170,74,R,R
abstebi01,Bill,Abstein,William Henry,185,72,R,R
accarje01,Jeremy,Accardo,Jeremiah Lee,195,72,R,R
aceveal01,Alfredo,Aceves,Alfredo,205,74,R,R
acevejo01,Jose,Acevedo,Jose Omar,185,72,R,R
aceveju01,Juan,Acevedo,Juan Carlos,245,74,R,R
ackerji01,Jim,Acker,James Justin,210,74,R,R
ackerto01,Tom,Acker,Thomas James,215,76,R,R
ackledu01,Dustin,Ackley,Dustin Michael,195,73,L,R
acklefr01,Fritz,Ackley,Florian Frederick,202,73,L,R
acostcy01,Cy,Acosta,Cecilio,165,70,R,R
acosted01,Ed,Acosta,Eduardo Elixbet,215,77,B,R
acostjo01,Jose,Acosta,Jose,134,66,R,R
acostma01,Manny,Acosta,Manuel Alcides,215,76,R,R
acostme01,Merito,Acosta,Baldomero Pedro,140,67,L,L
acrema01,Mark,Acre,Mark Robert,235,80,R,R
actama99,Manny,Acta,Manuel Elias,172,74,R,R
adairbi99,Bill,Adair,Marion Danne,168,72,R,R
adairje01,Jerry,Adair,Kenneth Jerry,175,72,R,R
adairji01,Jimmy,Adair,James Audrey,154,70,R,R
adamsac01,Ace,Adams,Ace Townsend,182,70,R,R
adamsba01,Babe,Adams,Charles Benjamin,185,71,L,R
adamsbe01,Bert,Adams,John Bertram,185,73,B,R
adamsbo01,Bob,Adams,Robert Burnette,168,71,R,R
adamsbo02,Bob,Adams,Robert Andrew,165,72,R,R
adamsbo03,Bobby,Adams,Robert Henry,160,70,R,R
adamsbo04,Bob,Adams,Robert Melvin,200,74,R,R
adamsbu01,Buster,Adams,Elvin Clark,180,72,R,R
adamsda01,Dan,Adams,Daniel Leslie,165,71,R,R
adamsda02,David,Adams,David Lee,205,73,R,R
adamsdi01,Dick,Adams,Richard Leroy,185,72,R,L
adamsdo01,Doug,Adams,Harold Douglas,185,75,L,R
adamsge01,George,Adams,George H.,175,66,R,R
adamsgl01,Glenn,Adams,Glenn Charles,180,73,L,R
adamshe01,Herb,Adams,Herbert Loren,160,69,L,L
adamsji01,Jim,Adams,James J.,148,66,,R
adamsjo01,Joe,Adams,Joseph Edward,190,72,R,L
adamsjo02,Joel,Adamson,Joel Lee,185,76,L,L
adamska01,Karl,Adams,Karl Tutwiler,170,74,R,R
adamsma01,Matt,Adams,Matthew James,260,75,L,R
adamsmi01,Mike,Adamson,John Michael,185,74,R,R
adamsmi02,Mike,Adams,Robert Michael,180,69,R,R
adamsmi03,Mike,Adams,Jon Michael,195,77,R,R
