yearID,lgID,teamID,franchID,G,Ghome,W,L,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,percentW,OBP,SLG,OPS,WHIP,name
2000,AL,CHA,CHW,162,81,95,67,978,5646,1615,1041,325,33,216,591,960,119,42,53,61,839,751,4.66,5,7,43,4350,1509,195,614,1037,133,190,0.97,0.586,0.356,0.470067304,0.826,1.619,Chicago White Sox
2000,AL,CLE,CLE,162,81,90,72,950,5683,1639,1078,310,30,221,685,1057,113,34,51,52,816,775,4.84,6,5,34,4326,1511,173,666,1213,72,149,0.98,0.556,0.367,0.470174204,0.837,1.614,Cleveland Indians
2000,AL,DET,DET,162,81,79,83,823,5644,1553,1028,307,41,177,562,982,83,38,43,49,827,755,4.71,6,6,44,4329,1583,177,496,978,105,171,0.98,0.488,0.342,0.438164422,0.780,1.67,Detroit Tigers
2000,AL,KCA,KCR,162,81,77,85,879,5709,1644,1186,281,27,150,511,840,121,35,48,70,930,876,5.48,10,6,29,4317,1585,239,693,927,102,185,0.98,0.475,0.349,0.425468558,0.774,1.748,Kansas City Royals
2000,AL,MIN,MIN,162,81,69,93,748,5615,1516,1026,325,49,116,556,1021,90,45,35,51,880,819,5.15,6,4,35,4297,1634,212,516,1042,102,155,0.98,0.426,0.337,0.40730187,0.744,1.755,Minnesota Twins
2000,AL,NYA,NYY,161,80,87,74,871,5556,1541,1017,294,25,205,631,1007,99,48,57,50,814,753,4.76,9,6,40,4272,1458,177,577,1040,109,135,0.98,0.54,0.354,0.449964003,0.804,1.596,New York Yankees
2000,AL,BOS,BOS,162,81,85,77,792,5630,1503,988,316,32,167,611,1019,43,30,42,48,745,683,4.23,7,12,46,4357,1433,173,499,1121,109,120,0.98,0.525,0.341,0.423445826,0.764,1.5,Boston Red Sox
2000,AL,TOR,TOR,162,81,83,79,861,5677,1562,969,328,21,244,526,1026,89,34,60,34,908,821,5.14,15,4,37,4311,1615,195,560,978,100,176,0.98,0.512,0.34,0.469261934,0.809,1.756,Toronto Blue Jays
2000,AL,BAL,BAL,162,81,74,88,794,5549,1508,992,310,22,184,558,900,126,65,49,54,913,855,5.37,14,6,33,4299,1547,202,665,1017,116,151,0.98,0.457,0.341,0.435033339,0.776,1.717,Baltimore Orioles
2000,AL,TBA,TBD,161,80,69,92,733,5505,1414,977,253,22,162,559,1022,90,46,48,40,842,773,4.86,10,8,38,4293,1553,198,533,955,118,171,0.98,0.429,0.328,0.399091735,0.727,1.674,Tampa Bay Devil Rays
2000,AL,OAK,OAK,161,81,91,70,947,5560,1501,958,281,23,239,750,1159,40,15,52,44,813,730,4.58,7,11,43,4305,1535,158,615,963,134,164,0.97,0.565,0.359,0.457733813,0.817,1.636,Oakland Athletics
2000,AL,SEA,SEA,162,81,91,71,907,5497,1481,957,300,26,198,775,1073,122,56,48,61,780,720,4.5,4,10,44,4324,1442,167,634,998,99,178,0.98,0.562,0.362,0.441513553,0.804,1.542,Seattle Mariners
2000,AL,ANA,ANA,162,81,82,80,864,5628,1574,995,309,34,236,608,1024,93,52,47,43,869,805,5,5,3,46,4344,1534,228,662,846,134,184,0.97,0.506,0.352,0.472459133,0.824,1.66,Anaheim Angels
2000,AL,TEX,TEX,162,81,71,91,848,5648,1601,1063,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.97,0.438,0.351,0.446175637,0.797,1.859,Texas Rangers
2000,NL,SLN,STL,162,81,95,67,887,5478,1481,962,259,25,235,675,1253,87,51,84,53,771,698,4.38,10,7,37,4300,1403,196,606,1100,111,148,0.98,0.586,0.356,0.455458196,0.811,1.517,St. Louis Cardinals
2000,NL,CIN,CIN,163,82,85,77,825,5635,1545,1007,302,36,200,559,995,100,38,64,58,765,700,4.33,8,7,42,4368,1446,190,659,1015,111,156,0.98,0.521,0.344,0.447027507,0.791,1.519,Cincinnati Reds
2000,NL,MIL,MIL,163,81,73,89,740,5563,1366,867,297,25,177,620,1245,72,44,61,49,826,755,4.64,2,7,29,4398,1501,174,728,967,118,187,0.98,0.448,0.325,0.403379472,0.728,1.587,Milwaukee Brewers
2000,NL,HOU,HOU,162,81,72,90,938,5570,1547,973,289,36,249,673,1129,114,52,83,61,944,864,5.41,8,2,30,4312,1596,234,598,1064,133,149,0.97,0.444,0.362,0.476660682,0.839,1.767,Houston Astros
2000,NL,PIT,PIT,162,81,69,93,793,5643,1506,987,320,31,168,564,1032,86,40,66,37,888,794,4.93,5,7,27,4347,1554,163,711,1070,132,169,0.97,0.426,0.338,0.423888003,0.762,1.685,Pittsburgh Pirates
2000,NL,CHN,CHC,162,81,65,97,764,5577,1426,948,272,23,183,632,1120,93,37,54,45,904,849,5.25,10,5,39,4363,1505,231,658,1143,100,139,0.98,0.401,0.335,0.41115295,0.746,1.656,Chicago Cubs
2000,NL,ATL,ATL,162,81,95,67,810,5489,1490,1011,274,26,179,595,1010,148,56,59,45,714,648,4.05,13,9,53,4320,1428,165,484,1093,129,138,0.97,0.586,0.346,0.428675533,0.775,1.488,Atlanta Braves
2000,NL,NYN,NYM,162,81,94,68,807,5486,1445,945,282,20,198,675,1037,66,46,45,51,738,670,4.16,8,10,49,4350,1398,164,574,1164,118,121,0.98,0.58,0.346,0.43036821,0.776,1.473,New York Mets
2000,NL,FLO,FLA,161,81,79,82,731,5509,1441,978,274,29,160,540,1184,168,55,60,51,797,729,4.59,5,4,48,4288,1477,169,650,1051,125,144,0.98,0.491,0.332,0.408967145,0.741,1.591,Florida Marlins
2000,NL,MON,WSN,162,81,67,95,738,5535,1475,952,310,35,178,476,1048,58,48,29,34,902,812,5.13,4,7,39,4273,1575,181,579,1011,132,151,0.97,0.414,0.326,0.431616983,0.758,1.739,Montreal Expos
2000,NL,PHI,PHI,162,81,65,97,708,5511,1386,898,304,40,144,611,1117,102,30,44,37,830,763,4.77,8,6,34,4315,1458,201,640,1123,100,136,0.98,0.401,0.328,0.399564507,0.728,1.591,Philadelphia Phillies
2000,NL,SFN,SFG,162,81,97,65,925,5519,1535,961,304,44,226,709,1032,79,39,51,66,747,675,4.21,9,15,47,4332,1452,151,623,1076,93,173,0.98,0.599,0.363,0.472005798,0.835,1.523,San Francisco Giants
2000,NL,LAN,LAD,162,81,86,76,798,5481,1408,904,265,28,211,668,1083,95,42,51,46,729,659,4.1,9,11,36,4335,1379,176,600,1154,135,151,0.97,0.531,0.34,0.430943259,0.771,1.459,Los Angeles Dodgers
2000,NL,ARI,ARI,162,81,85,77,792,5527,1466,961,282,44,179,535,975,97,44,59,58,754,698,4.35,16,8,38,4330,1441,190,500,1220,107,138,0.98,0.525,0.332,0.429346843,0.761,1.521,Arizona Diamondbacks
2000,NL,COL,COL,162,81,82,80,968,5660,1664,1130,320,53,161,601,907,131,61,42,75,897,835,5.26,7,2,33,4290,1568,221,588,1001,94,176,0.98,0.506,0.364,0.45459364,0.819,1.724,Colorado Rockies
2000,NL,SDN,SDP,162,81,76,86,752,5560,1413,940,279,37,157,602,1177,131,53,46,43,815,733,4.52,5,5,46,4377,1443,191,649,1071,141,155,0.97,0.469,0.329,0.402338129,0.731,1.548,San Diego Padres
2001,AL,CLE,CLE,162,80,91,71,897,5600,1559,1016,294,37,212,577,1076,79,41,69,62,821,746,4.64,3,4,42,4340,1512,148,573,1218,107,137,0.98,0.562,0.351,0.457678571,0.809,1.613,Cleveland Indians
2001,AL,MIN,MIN,162,81,85,77,771,5560,1514,984,328,38,164,495,1083,146,67,64,38,766,722,4.51,12,8,45,4324,1494,192,445,965,108,121,0.98,0.525,0.336,0.433453237,0.769,1.568,Minnesota Twins
2001,AL,CHA,CHW,162,81,83,79,798,5464,1463,920,300,29,214,520,998,123,59,52,51,795,725,4.55,8,7,51,4300,1465,181,500,921,118,149,0.98,0.512,0.334,0.450768668,0.785,1.577,Chicago White Sox
2001,AL,DET,DET,162,81,66,96,724,5537,1439,949,291,60,139,466,972,133,61,51,49,876,795,5.01,16,2,34,4288,1624,180,553,859,131,165,0.97,0.407,0.321,0.409427488,0.730,1.749,Detroit Tigers
2001,AL,KCA,KCR,162,81,65,97,729,5643,1503,1037,277,37,152,406,898,100,42,44,47,858,779,4.87,5,1,30,4320,1537,209,576,911,117,204,0.98,0.401,0.318,0.409356725,0.727,1.663,Kansas City Royals
2001,AL,NYA,NYY,161,80,95,65,804,5577,1488,976,289,20,203,519,1035,161,53,64,43,713,649,4.02,7,9,57,4354,1429,158,465,1266,109,132,0.98,0.59,0.334,0.435000897,0.769,1.476,New York Yankees
2001,AL,BOS,BOS,161,81,82,79,772,5605,1493,950,316,29,198,520,1131,46,35,70,41,745,667,4.15,3,9,48,4344,1412,146,544,1259,113,129,0.98,0.509,0.334,0.439072257,0.773,1.49,Boston Red Sox
2001,AL,TOR,TOR,162,82,80,82,767,5663,1489,971,287,36,195,470,1094,156,55,74,43,753,696,4.28,7,10,41,4388,1553,165,490,1041,97,184,0.98,0.494,0.325,0.429630938,0.755,1.577,Toronto Blue Jays
2001,AL,BAL,BAL,162,80,63,98,687,5472,1359,937,262,24,136,514,989,133,53,77,49,829,744,4.67,10,6,31,4297,1504,194,528,938,125,137,0.97,0.389,0.32,0.379568713,0.700,1.629,Baltimore Orioles
2001,AL,TBA,TBD,162,81,62,100,672,5524,1426,973,311,21,121,456,1116,115,52,54,25,887,781,4.94,1,6,30,4271,1513,207,569,1030,139,144,0.97,0.383,0.317,0.387762491,0.705,1.686,Tampa Bay Devil Rays
2001,AL,SEA,SEA,162,81,116,46,927,5680,1637,1120,310,38,169,614,989,174,42,62,70,627,576,3.54,8,14,56,4395,1293,160,465,1051,83,137,0.98,0.716,0.361,0.445422535,0.806,1.311,Seattle Mariners
2001,AL,OAK,OAK,162,81,102,60,884,5573,1469,914,334,22,199,640,1021,68,29,88,59,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151,0.98,0.63,0.346,0.438542975,0.785,1.387,Oakland Athletics
2001,AL,ANA,ANA,162,81,75,87,691,5551,1447,988,275,26,158,494,1001,116,52,77,53,730,671,4.2,6,1,43,4313,1452,168,525,947,103,142,0.98,0.463,0.327,0.404972077,0.732,1.518,Anaheim Angels
2001,AL,TEX,TEX,162,82,73,89,890,5685,1566,971,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.98,0.451,0.344,0.470712401,0.815,1.834,Texas Rangers
2001,NL,HOU,HOU,162,81,93,69,847,5528,1500,950,313,29,208,581,1119,64,49,89,56,769,707,4.37,7,6,48,4364,1453,221,486,1228,110,138,0.98,0.574,0.347,0.45133864,0.798,1.527,Houston Astros
2001,NL,SLN,STL,162,82,93,69,814,5450,1469,964,274,32,199,529,1089,91,35,65,50,684,627,3.93,8,11,38,4306,1389,196,526,1083,110,156,0.98,0.574,0.338,0.441100917,0.779,1.444,St. Louis Cardinals
2001,NL,CHN,CHC,162,81,88,74,777,5406,1409,915,268,32,194,577,1077,67,36,66,53,701,643,4.03,8,6,41,4311,1357,164,550,1344,109,113,0.98,0.543,0.337,0.429707732,0.767,1.432,Chicago Cubs
2001,NL,MIL,MIL,162,81,68,94,740,5488,1378,866,273,30,209,488,1399,66,36,72,35,806,740,4.64,3,8,28,4309,1452,197,667,1057,103,156,0.98,0.42,0.318,0.426020408,0.744,1.572,Milwaukee Brewers
2001,NL,CIN,CIN,162,81,66,96,735,5583,1464,962,304,22,176,468,1172,103,54,65,40,850,765,4.77,2,2,35,4328,1572,198,515,943,138,136,0.97,0.407,0.325,0.4191295,0.744,1.679,Cincinnati Reds
2001,NL,PIT,PIT,162,81,62,100,657,5398,1333,891,256,25,161,467,1106,93,73,67,35,858,794,5.05,8,9,36,4249,1493,167,549,908,133,168,0.97,0.383,0.312,0.393108559,0.705,1.66,Pittsburgh Pirates
2001,NL,ATL,ATL,162,81,88,74,729,5498,1432,971,263,24,174,493,1039,85,46,45,52,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133,0.98,0.543,0.323,0.411967988,0.735,1.386,Atlanta Braves
2001,NL,PHI,PHI,162,81,86,76,746,5497,1431,943,295,29,164,551,1125,153,47,43,61,719,667,4.15,8,7,47,4336,1417,170,527,1086,91,145,0.98,0.531,0.331,0.414044024,0.745,1.478,Philadelphia Phillies
